source_entry_number	source_title	source_page	page_span	face_markers	source_title_normalized	excerpt
1	စည်သူမင်းကျောက်စာ	1	1,2,3,4		စည်သူမင်းကျောက်စာ	၁ ။ ဝ။ သကရစ် ၅၀၀ မြိက္ကသိုဝ်နှစ် မ္လွယ်တာလပ္လည် ၁၅ရျက် သုက္ကြာနိယ်2အလေါင်ကြီစ ၂ ည်သူမင်ပြောင်လုံထွင်သော စေတီပ္လုရုယ်စည်ခုံတေ. ရည်ရုယ်ပ္လုသသော လယ်လေ ၁၀၀ ၃ လှူခသတေ၊ ၊ က္လောင်လယ်လေ ၂၀၀ နှင် မ္လိယ်သင်ဖုရှာလယ်လေ ၆၀ ပါယ်၊ သမ်လယ်လေ ၅၀ လှူခ ၄ သတေ။ ဤငါလှူခသောကိုဝ် နောင်အစင်လါသမင်အမတ်ခတ်သိမ်တိုဝ်ခိပင်ပါသ
2	သင်ပုတ်ကျောင်းကျောက်စာ	4	4,5,6		သင်ပုတ်ကျောင်းကျောက်စာ	၁ သက္ကရာဇ် ၅၁(၃)ခု အာသတ်နှစ်တန် ၂ ခူလဆန် ၁ ယက် တနင်္ဂနွေနေ7 ၃ အာလယ် ၂၀၀ သောတွင် ၄ ၅၀ ပယ်၊ သင်ပုတ်က္လောင်
3	သရပိုလ် သ္ခိင်ကျောင်းကျောက်စာ	6	6,7,8,9,10	မျက်နှာဘက်,ကျောဘက်	သရပိုလ်သ္ခိင်ကျောင်းကျောက်စာ	(မျက်နှာဘက်) ၁ ။ ဝ။ သကရစ် ၅၃၅ ခု သရဝန် နှစ်။ ကုဆုန်လ္ဆ ၂ န် ၇ ရျက် ကြသပတိယ်နိယ်9။ သရပိုလ်သ္ခိင် စိန်ညထိုလ်​ေ ၃ က္လာင် နှိုက်။ မဟာသိမန်သါ သတ္ခာ ပြညာကြီသော ယောက်
4	စည်သူမင်းကြီး ဂူလျောင်းဂူပြောက်ကျောက်စာ	10	10,11,12		စည်သူမင်းကြီးဂူလျောင်းဂူပြောက်ကျောက်စာ	၁ ၊ နမါဂပညာယ၊ ဝ၊ သက္ကရစ် ၅၃၆ ခု အာသိန်နှစ် ၂ ၊ တဝ်သလင်လ္ဆန် ၁၀ ရက် ၂ နေ 11စည်သူမင်ကြီကု​ေ ၃ လျာင်ကုပြောက်ဖုရှါင်သျှင်ကိုဝ်လှုတဝ်မူသမြေ ၄ ကာ ကုန်တောဝ် အရှေမြစ်ထောင် မြေတဝ်တြာကြာ
5	ငဦသင်ကျောက်စာ	12	12,13,14		ငဦသင်ကျောက်စာ	၁ ။ ဝ။ သကရစ် ၅၄၄ တ်သ္လာင် ၂ လ္ဆန် ၉ ရျက် ၄ နိယ်13 (အိုအ်) ကုလါ ၃ ကိုဝ်ငဦသင်ရောင် (ရုယ်) ငအင် ၄ ပယ်မိဝယ်သောအဖိုဝ်ခွက်
6	လက်ဆောင်ဘုရားကျောက်စာ	14	14,15,16		လက်ဆောင်ဘုရားကျောက်စာ	၁ ၊ ၊ သကရစ် ၅၆၆ ခု၊ စဲယ်နှစ် ကုဆုန်လ္ဆန် ၃ ရျ ၂ က် ၅ နိယ်15 လက်ဆောင်ဖုရှာ ၄ မျက်နှာ ရိယ်သော ၃ ရှုယ် ၈ က္လပ်ဟိ၏ လွှတ်သောလှူသကာ တန်ရောက်လဲကက္ကု ၄ သန်ဖူရာ ၁၂ ပဲ ကောနာ ကုမ် ၁၂ ပဲ ကဿပဖုရှာ ၁၂ ပဲ ကော
7	တောကျောင်းသခင်ကျောက်စာ	16	16,17,18		တောကျောင်းသခင်ကျောက်စာ	၁ ။ ။ သကရစ် ၅၇၈ ခု မာခနှစ် မ္လွယ်တာလ ၂ ဆန် ၁၂ ရျက် စနိယ်နိယ္အ်17 နီရာပန်ဆုလိုဝ်သော ​ေ ၃ ကြာင်အမိပုရှာမိပ္လုသော တာဝ်က္လောင်သ္ခိင်ယင်တ ၄ ဝ်နိယ်ရာပုရှာ။ တျြာ။ သင်ဃာလှူသောတောင်နီလ
8	ညာနရင်သီဘုရားကျောက်စာ	18	18,19,20,21		ညာနရင်သီဘုရားကျောက်စာ	စာကြောင်းရေ ၁ မှ ၇ အထိဖတ်၍မရပါ။ ၈ ၀။ သကရ် ၅၇၉ ခုစယ်နှစ်19 ၉ င်သီပုရှာကျွန်ပိယ်ခသောကာ ငပြည် (တ)စ်ယောက်။ ငါပြ ၁၀ ယ်သာ ငါခ္လိယ်တစ်ယောက်။ သာမိအိုအ္အ် ပွင်တစ်ယောက်။
9	သိင်္ဃဝီရ်သုဇ္ဇ်ဗိုလ်ကျောက်စာ	21	21,22,23,24,25,26	မျက်နှာဘက်,ကျောဘက်	သိင်္ဃဝီရ်သုဇ္ဇ်ဗိုလ်ကျောက်စာ	(မျက်နှာဘက်) ၁ ။၊ ။၊ သကရစ် ၅၈၅ ခု။ အာသုတ်နှစ်တဝ်သ္လင်လပ္လည်သူကြာ ၂ သတင်နိယ်21 အာသ္ခိင်သိင်္ဃဝီရ်သုဇ္ဇ်ဗိုလ်ပ္လုသောက္လောင်ပုရှာလှူသော ၃ ။ မြောင်ကတောင်လယ် ၂ နာမိုင်။ ဖဥစ်ငာကြီသင်လယ် ၁ နာမိုင်
10	ကန်ကျက်ကလိည်သူကြီးကျောက်စာ	26	26,27,28,29,30,31	မျက်နှာဘက်,ကျောဘက်	ကန်ကျက်ကလိည်သူကြီးကျောက်စာ	(မျက်နှာဘက်) ၁ ။ ဂြီ။ ကာလ်သကရာစ် ၄၉၁25 ဍေယ်ကာလ်သွသ်တိ ၂ လဵအ်ပေါယ်ဩီတြိဘဝနာဒိတျ ပဝရဓမ္မရာဇ် ကတ္တိတသံ ၃ ဝစ္ဆေရ် ရာ စိဝေက်ကိ န္တုဇိသ်တွေယ်ဗိဟ် ရ ဒျ တိဥတ္တရာသါ
