candidate_rank	local_file_id	batch_id	file_name	old_file_name	canonical_file_name	probable_article_title	probable_author	year	old_path_stub	new_path_stub_or_repo_path	ocr_text_path	language_scope_guess	burmese_relevance_guess	inscriptional_relevance_class	translation_hit_count	text_hit_count	inscription_hit_count	strongest_markers	sample_pages	reason_for_priority	recommended_next_action	notes
1	571001-da9c84549c18	jbrs-ocr-2116	571001.pdf	571001.pdf	571001.pdf	A Note on the Text and Translation of Kinwan Mingyi's Diaries Chapter I Kinwan Mingyi and his Companions Chapter II The…	TABLE OF CONTENTS		Burmese/Burma JBRS/JBRS Originals/571001.pdf	data/working/ocr/jbrs/text/571001-da9c84549c18.txt	data/working/ocr/jbrs/text/571001-da9c84549c18.txt	Burmese	direct_burmese_relevance	direct_inscription_translation	29	4	2	translation x21, translated x6, text and translation x4, burmese text x1	page 4, page 1, page 103	direct_inscription_translation; Burmese; 29 translation hits; 2 inscription hits; 4 text hits; article-level PDF	queue_for_structured_extraction_review	top_20_priority
2	472441-f021b27f9644	jbrs-ocr-2025	472441.pdf	472441.pdf	1964-burma-research-society-corrected-up-31st-december-copyright-catalogue-of-books.pdf	BURMA RESEARCH SOCIETY Corrected up to 31st December Copyright Myanmar Book Centre & Book Promotion & Service Ltd, Bang…	CATALOGUE OF BOOKS	1964	Burmese/Burma JBRS/1964/472441.pdf	data/working/ocr/jbrs/text/1964-burma-research-society-corrected-up-31st-december-copyright-catalogue-of-books.txt	data/working/ocr/jbrs/text/1964-burma-research-society-corrected-up-31st-december-copyright-catalogue-of-books.txt	Burmese	direct_burmese_relevance	direct_inscription_translation	19	5	17	translated x11, translation x8, inscription x8, inscriptions x8	page 103, page 55, page 75	direct_inscription_translation; Burmese; 19 translation hits; 17 inscription hits; 5 text hits; article-level PDF	queue_for_structured_extraction_review	top_20_priority
3	501095-5959f008b473	jbrs-ocr-2060	501095.PDF	501095.PDF	501095.PDF	NISSAYA BURMESE * A CASE OF SYSTEMATIC ADAPTATION TO A FOREIGN GRAMMAR AND SYNTAX	JOHN OKELL §		Burmese/Burma JBRS/JBRS Originals/501095.PDF	data/working/ocr/jbrs/text/501095-5959f008b473.txt	data/working/ocr/jbrs/text/501095-5959f008b473.txt	Mixed Burmese/Pali	mixed_burmese_pali_relevance	direct_inscription_translation	18	7	3	translation x10, translated x7, pali text x5, inscription x2	page 1, page 5, page 8	direct_inscription_translation; Mixed Burmese/Pali; 18 translation hits; 3 inscription hits; 7 text hits; article-level PDF	queue_for_structured_extraction_review	top_20_priority
4	nissaya_okell_1967-466204552757	jbrs-ocr-3340	Nissaya-Okell-1967.pdf	Nissaya-Okell-1967.pdf	1967-nissaya-burmese-case-systematic-adaptation-foreign-grammar-syntax-john-okell.pdf	NISSAYA BURMESE * A CASE OF SYSTEMATIC ADAPTATION TO A FOREIGN GRAMMAR AND SYNTAX	JOHN OKELL §	1967	Burmese/Burma JBRS/1967/Nissaya-Okell-1967.pdf	data/working/ocr/jbrs/text/1967-nissaya-burmese-case-systematic-adaptation-foreign-grammar-syntax-john-okell.txt	data/working/ocr/jbrs/text/1967-nissaya-burmese-case-systematic-adaptation-foreign-grammar-syntax-john-okell.txt	Mixed Burmese/Pali	mixed_burmese_pali_relevance	direct_inscription_translation	18	7	3	translation x10, translated x7, pali text x5, inscription x2	page 1, page 5, page 8	direct_inscription_translation; Mixed Burmese/Pali; 18 translation hits; 3 inscription hits; 7 text hits	queue_for_structured_extraction_review	top_20_priority
5	142100-7144e2fe0f19	jbrs-ocr-0535	142100.pdf	142100.pdf	1924-tan-97-132-d-ngai-lao.pdf	The Tan¹ (97 132 A. D	Ngai-lao	1924	Burmese/Burma JBRS/JBRS Originals/142100.pdf	data/working/ocr/jbrs/text/1924-tan-97-132-d-ngai-lao.txt	data/working/ocr/jbrs/text/1924-tan-97-132-d-ngai-lao.txt	Burmese	direct_burmese_relevance	direct_inscription_translation	12	1	4	translation x8, translated x4, inscription x2, text. x1	page 34, page 29, page 10	direct_inscription_translation; Burmese; 12 translation hits; 4 inscription hits; 1 text hits; article-level PDF	queue_for_structured_extraction_review	top_20_priority
6	472287-1a94d3e6ce11	jbrs-ocr-2018	472287.pdf	472287.pdf	1964-beginnings-western-education-burma-vivian-ba.pdf	THE BEGINNINGS OF WESTERN EDUCATION IN BURMA	Vivian BA	1964	Burmese/Burma JBRS/1964/472287.pdf	data/working/ocr/jbrs/text/1964-beginnings-western-education-burma-vivian-ba.txt	data/working/ocr/jbrs/text/1964-beginnings-western-education-burma-vivian-ba.txt	Burmese	direct_burmese_relevance	direct_inscription_translation	11	1	2	translated x7, translation x4, inscription x2, text. x1	page 13, page 22, page 25	direct_inscription_translation; Burmese; 11 translation hits; 2 inscription hits; 1 text hits; article-level PDF	queue_for_structured_extraction_review	top_20_priority
7	512125-83c8c6ce8ff5	jbrs-ocr-2074	512125.pdf	512125.pdf	1968-rise-popular-literature-burma-hla-pe2-burma-has-hla-pe.pdf	THE RISE OF POPULAR LITERATURE IN BURMA' HLA PE2 Burma has been for eight or nine centuries the strong hold of the Ceyl…	Hla Pe	1968	Burmese/Burma JBRS/1968/512125.pdf	data/working/ocr/jbrs/text/1968-rise-popular-literature-burma-hla-pe2-burma-has-hla-pe.txt	data/working/ocr/jbrs/text/1968-rise-popular-literature-burma-hla-pe2-burma-has-hla-pe.txt	Burmese	direct_burmese_relevance	direct_inscription_translation	11	1	2	translation x7, translated x4, inscription x1, inscriptions x1	page 16, page 1, page 13	direct_inscription_translation; Burmese; 11 translation hits; 2 inscription hits; 1 text hits; article-level PDF	queue_for_structured_extraction_review	top_20_priority
8	301351-ed8da7b41f63	jbrs-ocr-1794	301351.pdf	301351.pdf	1940-manu-burma-some-burmese-dhammathats-i.pdf	MANU IN BURMA: SOME BURMESE DHAMMATHATS	I	1940	Burmese/Burma JBRS/1940/301351.pdf	data/working/ocr/jbrs/text/1940-manu-burma-some-burmese-dhammathats-i.txt	data/working/ocr/jbrs/text/1940-manu-burma-some-burmese-dhammathats-i.txt	Burmese	direct_burmese_relevance	direct_inscription_translation	10	1	2	translation x7, translated x3, inscription x1, inscriptions x1	page 12, page 13, page 14	direct_inscription_translation; Burmese; 10 translation hits; 2 inscription hits; 1 text hits; article-level PDF	queue_for_structured_extraction_review	top_20_priority
9	492145-c59ff42645f1	jbrs-ocr-2047	492145.pdf	492145.pdf	1966-relations-between-burma-chylon-c-e-godakumbura.pdf	RELATIONS BETWEEN BURMA AND CHYLON	C. E. Godakumbura**	1966	Burmese/Burma JBRS/JBRS Originals/492145.pdf	data/working/ocr/jbrs/text/1966-relations-between-burma-chylon-c-e-godakumbura.txt	data/working/ocr/jbrs/text/1966-relations-between-burma-chylon-c-e-godakumbura.txt	Mixed Burmese/Pali	mixed_burmese_pali_relevance	direct_inscription_translation	9	4	11	translated x7, inscription x7, inscriptions x4, pali text x3	page 16, page 17, page 13	direct_inscription_translation; Mixed Burmese/Pali; 9 translation hits; 11 inscription hits; 4 text hits; article-level PDF	queue_for_structured_extraction_review	top_20_priority
10	561069-dedf4ac8d983	jbrs-ocr-2114	561069.pdf	561069.pdf	1973-troublesome-tonal-tokens-burmese-language-lu-pe-win.pdf	Troublesome Tonal Tokens in the Burmese Language	U Lu Pe Win †	1973	Burmese/Burma JBRS/1973/561069.pdf	data/working/ocr/jbrs/text/1973-troublesome-tonal-tokens-burmese-language-lu-pe-win.txt	data/working/ocr/jbrs/text/1973-troublesome-tonal-tokens-burmese-language-lu-pe-win.txt	Burmese	direct_burmese_relevance	direct_inscription_translation	8	2	12	inscription x7, translated x6, inscriptions x5, text. x2	page 17, page 25, page 6	direct_inscription_translation; Burmese; 8 translation hits; 12 inscription hits; 2 text hits; article-level PDF	queue_for_structured_extraction_review	top_20_priority
