linked_corpus_record_id	linked_inscription_id	title_or_label	source_key	source_locator	translation_status	translation_text_snippet	translation_length_chars	has_existing_transcription	link_basis	needs_human_review	notes
obi-v01-n0004-ob-p0011	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ	jbrsShwegugyi1920	JBRS 10(2), 1920, pp. 67-74	published_translation	Reverence to the Buddha, whose pure mind Made for the earth a Sun-his noble Law, That all three worlds may follow him and reach Salvation, who were powerless else to cross The jung	5632	true	JBRS 10(2), 1920, pp. 67-74 explicitly matches the Shwegugyi Pagoda Inscription corpus record.	false	Completed published translation integrated into the enriched corpus candidate.
obi-v01-n0001-tx-p0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	tunAungChainRajakumar2001	Cultural Classics 2001, Appendix I Myanmar Text, pp. 33-34 (OCR pages 10-11)	published_translation	Myanmar Text (A 39 lines, B 34, lines) tr. Charles Duroiselle (1919) rev. Tun Aung Chain Prosperity! Honour to the Buddha! One thousand six hundred and twenty-eight years of the Bu	2056	true	The Myanmar Text section aligns with the Myanmar Rajakumar/Myazedi corpus record title, references, and matching narrative formulae (Arimaddanapur, Tribhuvanadityadhammaraj, Trilokavatamsika, 1628 era + 28 regnal years, and three-village donation).	false	version_label=Myanmar Text; integrated to Myanmar Rajakumar/Myazedi record.
obi-v01-n0001-tx-p0002	obi-v01-n0001-tx-p0002	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	tunAungChainRajakumar2001	Cultural Classics 2001, Appendix I Pali Text, pp. 35-36 (OCR pages 12-13)	published_translation	Pali Text (A 41 lines, B 40, lines) tr. Charles Duroiselle (1919) Prosperity! Having bowed to the Buddha and other (two) Excellent Objects, I shall relate the noble work of merit p	2753	true	The Pali Text section matches the Pali Rajakumar/Myazedi corpus record language and reference profile (List-52, IOB4-361/b, EB Vol.1 no.1), with identical storyline and dedication formula.	false	version_label=Pali Text; integrated to Pali Rajakumar/Myazedi record.
obi-v01-n0081-ob-p0125	obi-v01-n0081	သမန္တသု မယားကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 70 (Plate XLV; OCR pages 83)	published_partial_translation	No. (5). Locality. Within the porch of the Damayangyi pagoda. Date. 581 Sakkarâj (1219 A.D.). Founder. Kinmi Pèpo.* Substance of inscription.-Dedication of slaves to pagoda. ON Mon	542	true	High-confidence IOB concordance link (Plate XLV, TN 70) to obi-v01-n0081-ob-p0125; extracted from tracked TN OCR pages.	false	version_label=TN locator TN 70; source_iob_plate=Plate XLV; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0047-ob-p0075	obi-v01-n0047	စိုးမင်းပျံချီသမီးကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 80 (Plate XXVII; OCR pages 93)	published_partial_translation	Reverse. Date. 558 Sakkaraj (1196 A.D.). Founder. Thakin Pwèthaung.* Substance of inscription.-Building of pagodas and dedication of slaves thereto. ON Tuesday, the 9th waning of T	1659	true	High-confidence IOB concordance link (Plate XXVII, TN 80) to obi-v01-n0047-ob-p0075; extracted from tracked TN OCR pages.	false	version_label=TN locator TN 80; source_iob_plate=Plate XXVII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0007-ob-p0022	obi-v01-n0007	ငနွယ်သင်ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 92 (Plate LIX; OCR pages 105)	published_partial_translation	No. (21). Locality. Within the walls of the Shinbinbawdi pagoda, on the northern side. Date.-Nil. Founder.-Theinka . . * Substance of inscription.-Building of monastery and dedicat	801	true	High-confidence IOB concordance link (Plate LIX, TN 92) to obi-v01-n0007-ob-p0022; extracted from tracked TN OCR pages.	false	version_label=TN locator TN 92; source_iob_plate=Plate LIX; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0097-tx-p0156	obi-v01-n0097	မဟာသေနာပတိ အန္တသူရမောင်နှံ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 100 101 (Plate LXXIV; OCR pages 113, 114)	published_partial_translation	Substance of inscription.-Building of cave, monastery, and image, and dedication thereto of slaves, lands, cattle, and utensils On Wednesday, the 3rd waning of Tabaung 592 Sakkarâj	3993	true	High-confidence IOB concordance link (Plate LXXIV, TN 100 101) to obi-v01-n0097-tx-p0156; extracted from tracked TN OCR pages.	false	version_label=TN locator TN 100 101; source_iob_plate=Plate LXXIV; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 102-103 (Plate LXXVI; OCR pages 115, 116)	published_partial_translation	No. (3). Locality. On the northern pillar within the inscription ca ve, near the Lemyethna pagoda. Date.-584 Sakkarâj (1222 A.D.). Founders. Maha Turingapyitsi* and others. Substan	2892	true	High-confidence IOB concordance link (Plate LXXVI, TN 102-103) to obi-v01-n0142-tx-p0238; extracted from tracked TN OCR pages.	false	version_label=TN locator TN 102-103; source_iob_plate=Plate LXXVI; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 106 (Plate LXXVIII a; OCR pages 119)	published_partial_translation	No. (7).* Locality. Same as No. (6). Date. 589 Sakkarâj (1227 A.D.). NGA KON and brothers Nga Tôn Da, Nga San; Nga Myo, and sons Nga Wun Byi, Nga Hmè, Nga Pa U, Nga Pyi and Nga Ma 	1605	true	High-confidence IOB concordance link (Plate LXXVIII a, TN 106) to obi-v01-n0142-tx-p0238; extracted from tracked TN OCR pages.	false	version_label=TN locator TN 106; source_iob_plate=Plate LXXVIII a; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
obi-v01-n0146-tx-p0246	obi-v01-n0146	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 108 109 (Plate LXXIX b; OCR pages 121, 122)	published_partial_translation	Substance of inscription.-Erection of cave and dedication thereto of slaves, lands, and cattle. and ON Monday, the 14th waxing of Wazo 595 Sakkaraj, Yazan aha Mingalapade built a c	3200	true	High-confidence IOB concordance link (Plate LXXIX b, TN 108 109) to obi-v01-n0146-tx-p0246; extracted from tracked TN OCR pages.	false	version_label=TN locator TN 108 109; source_iob_plate=Plate LXXIX b; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
