source_work_key	canonical_title	source_family_ids	work_type	translation_likelihood	edition_likelihood	plate_or_image_likelihood	priority	evidence	next_action	notes	discovery_status	candidate_witness_count	classified_witness_count	confirmed_translation_witness_count	confirmed_edition_witness_count	confirmed_plate_witness_count	next_review_action
lucePeMaungTinInscriptionsOfBurma	Inscriptions of Burma	sf-iob; sf-pl	book	possible	high	high	high	Current authority notes describe this as the shared source work for IOB catalogue locators and Pl. plate locators.	Start with local-source and bibliography review for whether published translation sections exist alongside editions and plates.	High edition and plate relevance; translation relevance should be assessed from published witnesses rather than assumed.	classified_provisional	4	4	0	0	2	Inspect the highest-confidence witnesses to confirm edition/translation scope.
sipSelectionsPagan	Selections from the Inscriptions of Pagan	sf-sip	book	high	high	medium	high	The authority layer already treats SIP as a named source work with locator semantics.	Prioritize local bibliography and source-file review for published translation coverage and edition structure.	Likely central for translation-source discovery, but coverage still needs explicit verification.	classified_provisional	4	4	0	0	0	Inspect the highest-confidence witnesses to confirm edition/translation scope.
uemSelectionsPagan	Selections from the Inscriptions of Pagan	sf-uem	book	high	high	medium	high	The authority layer models UEM as a source work with inscription-number and page locators.	Prioritize witness review alongside SIP to distinguish overlap, edition format, and any translation content.	Translation and edition relevance are both likely high, but this remains a planning hypothesis.	classified_provisional	4	4	0	0	0	Inspect the highest-confidence witnesses to confirm edition/translation scope.
tnInscriptionsPaganPinyaAva	Inscriptions of Pagan, Pinya and Ava	sf-tn	book	high	high	low	high	TN is modeled as a source work with page locators and a stable work-level authority.	Check the published work directly for translation, edited text, and commentary boundaries.	The remaining TN crosswalk residue does not change the high value of this work for discovery.	needs_local_file	0	0	0	0	0	Find or harvest a local witness before claiming edition or translation coverage.
ppaCatalogue	Inscriptions of Pagan, Pinya and Ava	sf-ppa; sf-ippa	source_catalogue	possible	high	low	high	PPA is the canonical work for both PPA and IPPA family usage.	Review whether the cited witness is mainly catalogue/edition material or also contains translation-like coverage.	High catalogue relevance; translation relevance should stay conservative until checked.	needs_local_file	0	0	0	0	0	Find or harvest a local witness before claiming edition or translation coverage.
ubSourceFamily	Inscriptions Collected in Upper Burma	sf-ub	source_catalogue	possible	high	low	high	UB is a stable source-work authority used for volume/page locators.	Check local or imported witnesses for edition structure and any translated excerpts.	Likely strong edition/catalogue relevance even if translation coverage proves limited.	needs_local_file	0	0	0	0	0	Find or harvest a local witness before claiming edition or translation coverage.
duroiselle1921list	List of Inscriptions Found in Burma	sf-list	book	low	medium	low	medium	List is a stable catalogue-style source work used for List locators.	Treat as a catalogue-first witness and review only for incidental translation or descriptive notes.	Probably low translation relevance but useful as bibliography normalization infrastructure.	classified_provisional	4	4	0	0	0	Inspect the highest-confidence witnesses to confirm edition/translation scope.
epigraphiaBirmanica	Epigraphia Birmanica	sf-eb	series	possible	high	medium	high	EB is currently a series-level authority only unless a specific fascicle or article is identified.	Use the series authority as a container and plan later fascicle/article-level discovery.	Translation relevance may be high in specific parts, but the current row is still series-level.	needs_article_level_discovery	5	5	0	0	0	Review article-level files and raw references before assigning translation relevance.
journalBurmaResearchSociety	Journal of the Burma Research Society	sf-jbrs	periodical	unknown	unknown	low	medium	JBRS is a series container rather than an identified article witness.	Defer to later article-level discovery driven by normalized references and local bibliography matches.	Do not treat the periodical authority itself as proof of translation coverage.	needs_article_level_discovery	5	5	0	0	0	Review article-level files and raw references before assigning translation relevance.
journalRoyalAsiaticSociety	Journal of the Royal Asiatic Society	sf-jras	periodical	unknown	unknown	low	medium	JRAS is a series container rather than an identified article witness.	Defer to later article-level discovery driven by normalized references and local bibliography matches.	Use as a discovery container only at this stage.	needs_article_level_discovery	2	2	0	0	0	Review article-level files and raw references before assigning translation relevance.
bulletinBurmaHistoricalCommission	Bulletin of the Burma Historical Commission	sf-bbhc	periodical	unknown	unknown	low	medium	BBHC is a periodical-level authority awaiting article-level identification.	Use as a container for later article discovery rather than a direct translation witness.	Series/container relevance first; publication-specific translation assessment comes later.	needs_article_level_discovery	0	0	0	0	0	Review article-level files and raw references before assigning translation relevance.
annualReportsArchaeologicalSurveyIndia	Annual Reports of the Archaeological Survey of India	sf-arasi	series	unknown	unknown	medium	medium	ARASI is a shared series-level authority for year-specific citation families.	Treat as a series container and look for issue/year-level witnesses later.	May hold plates or reports, but translation relevance should not be assumed at series level.	needs_article_level_discovery	0	0	0	0	0	Review article-level files and raw references before assigning translation relevance.
