acronym	current_status	current_expansion	best_evidence_source	best_evidence_quote	manual_seed	ocr_sources_checked	new_ocr_hits	candidate_expansions	recommended_resolution	confidence	needs_human_review	notes
A	probable_expansion	Original Inscriptions Collected by King Bodawpaya and now placed near the Patodawgyi Pagoda, Amarapura	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	Original Inscriptions Collected by King Bodawpaya and now placed near the Patodawgyi Pagoda, Amarapura (A)			Luce&PeMaungTin_InscriptionsOfBurma(Plates3,4,5)_1960.pdf	Original Inscriptions Collected by King Bodawpaya and now placed near the Patodawgyi Pagoda, Amarapura	probable_expansion	high	true	
ARASI	confirmed_expansion	Annual Reports of the Archaeological Survey of India	Frasch 2018 Myanmar Epigraphy.pdf	ARASI = Annual Reports of the Archaeological Survey of India				Annual Reports of the Archaeological Survey of India	confirmed_expansion	high	false	
B	probable_expansion	Inscriptions Copied from the Stones Collected by King Bodawpaya and Placed near the Aracan Pagoda	Frasch-1996-Pagan-MachineEnglishTranslation-OLD-VERSION.pdf	Inscriptions Copied from the Stones Collected by King Bodawpaya and Placed near the Aracan Pagoda (B 1, B 2)				Inscriptions Copied from the Stones Collected by King Bodawpaya and Placed near the Aracan Pagoda	probable_expansion	high	true	
BBHC	confirmed_expansion	Bulletin of the Burma Historical Commission	Frasch 2018 Myanmar Epigraphy.pdf	BBHC = Bulletin of the Burma Historical Commission				Bulletin of the Burma Historical Commission	confirmed_expansion	high	false	
BED B	probable_expansion	Bagan Epigraphic Database, Part B	Bagan Epig Database.doc	Bagan Epigraphic Database (BED) — PART B				Bagan Epigraphic Database, Part B	probable_expansion	medium	true	
EB	confirmed_expansion	Epigraphia Birmanica	Frasch 2018 Myanmar Epigraphy.pdf	EB = Epigraphia Birmanica (Taw Sein Ko & Duroiselle 1919–1936)	Epigraphia Birmanica			Epigraphia Birmanica (Taw Sein Ko & Duroiselle 1919–1936)	confirmed_expansion	high	false	Manual identification supplied by Nathan; documentary source agrees.
IOB	internal_locator	Locator reference into Inscriptions of Burma	frasch_extracted_text.txt	IB  Inscriptions of Burma (Luce & Pe Maung Tin 1933–1956) ... Pl.  Inscriptions of Burma (Luce & Pe Maung Tin 1933–1956)				Inscriptions of Burma	internal_locator	medium	true	No strong definition candidate found in searched corpus documentation or Frasch files. Frasch explicitly defines IB and Pl., not IOB; IOB is therefore kept as a locator-family relation to the same underlying work rather than as a standalone title expansion. Targeted files checked: data/working/bibliography/local_sources/frasch_extracted_text.txt | data/working/bibliography/local_sources/acronym_definition_candidates.tsv. Searched terms: IOB | IB | Inscriptions of Burma | Pl..
IPPA	unresolved_after_exhaustive_search		acronym_definition_candidates.tsv	No strong definition candidate found in searched corpus documentation or Frasch files.					unresolved_after_exhaustive_search	low	true	No strong definition candidate found in searched corpus documentation or Frasch files. The targeted local evidence search did not recover a documentary definition for IPPA. Targeted files checked: data/working/bibliography/local_sources/frasch_extracted_text.txt | data/working/bibliography/local_sources/acronym_definition_candidates.tsv | data/working/bibliography/bibtex_authority/frasch_abbreviation_list_review.tsv. Searched terms: IPPA | I PPA | Inscriptions of Pagan, Pinya and Ava | PPA index | PPA plates | PPA appendix.
JBRS	confirmed_expansion	Journal of the Burma Research Society	Frasch 2018 Myanmar Epigraphy.pdf	JBRS = Journal of the Burma Research Society	Journal of the Burma Research Society		CenturyOfProgress_Luce1948.pdf	"49. J.A, Stewart -""Excavation and Exploration in Pegu"". | Journal of the Burma Research Society | iv, PI. I (a, b) and pp. 219-20. Now at Mandalay Archaeological Office."	confirmed_expansion	high	false	Manual identification supplied by Nathan; documentary source agrees.
JRAS	confirmed_expansion	Journal of the Royal Asiatic Society	Frasch 2018 Myanmar Epigraphy.pdf	JRAS = Journal of the Royal Asiatic Society	Journal of the Royal Asiatic Society		CenturyOfProgress_Luce1948.pdf	Journal of the Royal Asiatic Society	confirmed_expansion	high	false	Manual identification supplied by Nathan; documentary source agrees.
List	confirmed_expansion	A list of inscriptions found in Burma (Charles Duroiselle 1921)	Frasch 2018 Myanmar Epigraphy.pdf	List = A list of inscriptions found in Burma (Charles Duroiselle 1921)				A list of inscriptions found in Burma (Charles Duroiselle 1921)	confirmed_expansion	high	false	
