source_family_id	bibtex_key	evidence_id	evidence_type	source_file_id	source_file_label	source_ref_id	short_evidence	full_evidence_hash	confidence	notes
	harvey1925historyBurma	frasch-ref-00829	frasch_bibliography	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	frasch-ref-00829	Harvey, History of Burma, p. 332	36ec4ad183b366b3557ae68fdd4bade11dd5d0783eece8c703fa3eb551272c10	medium	Promoted from repeated Frasch shorthand citations; precise edition details still need confirmation.
	htway1974oldest	tin_htway_1974_oldest_burmese_inscriptio-026cc9578084	local_burma_folder	tin_htway_1974_oldest_burmese_inscriptio-026cc9578084	Tin Htway 1974 Oldest Burmese Inscription.pdf	tin_htway_1974_oldest_burmese_inscriptio-026cc9578084	Oldest Burmese Inscription	e4783baa6480a1b2585c2b2bc61e5a5187460c6249a3fc11825c10c8f32e1d23	high	No stronger conservative family signal was detected.
	luce197615th	luce_and_tin_htway_1976_15th_century_ins-ff06c93703ea	local_luce_folder	luce_and_tin_htway_1976_15th_century_ins-ff06c93703ea	Luce and Tin Htway 1976 15th Century Inscription and Library at Pagan.pdf	luce_and_tin_htway_1976_15th_century_ins-ff06c93703ea	15th Century Inscription and Library at Pagan	8486927b6e6695034a96ead36a58c18c6dae06eb208cc42dd3786955ad67f7b2	high	No stronger conservative family signal was detected.
	rayTheravadaBuddhism	frasch-ref-00340	frasch_bibliography	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	frasch-ref-00340	Ray, Theravada Buddhism, p. 106	3de6befcf0dd7d8560d76a952dfa27dd70e8a083414295b62aa10a5328f76800	medium	Shorthand Frasch citations identify the work, but fuller publication metadata still needs local confirmation.
	uKyawBaganMinsa	frasch-ref-00825	frasch_bibliography	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	frasch-ref-00825	U Kyaw, Bagan Minsa, p. 187	d7d909ae08368d448dc49a62fe25815ea1dc56176f075b31d32e3589a0bb26ab	medium	Promoted from repeated Frasch shorthand citations pending fuller publication details.
	uPeMaungTin1966myazediInscription	pemaungtin_1974_myazediinscription-56bbc5aae6bb	local_burma_folder	pemaungtin_1974_myazediinscription-56bbc5aae6bb	PeMaungTin 1974 MyazediInscription.PDF	pemaungtin_1974_myazediinscription-56bbc5aae6bb	MyazediInscription	f4ae3277bbe4d0f7a3027459791110160b5b513db6d6c9db401c30656bf8af71	medium	Matched to a likely local witness; edition details still need confirmation.
	uThaMyat1958paliVersionMyazedi	frasch-ref-00344	frasch_bibliography	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	frasch-ref-00344	U Tha Myat, The Pali Ver- sion of the Myazedi Inscription, Rangoon 1958	66ab07ce776ddae18b39090e84b1629626fb5f50c93fcbbff7d15a6e5c0efe32	medium	Attested as a full citation in Frasch bibliography evidence; local file confirmation is still pending.
sf-a	fraschBaganEpigraphicDatabasePartA	bagan_epig_database-c4cfc990741f	frasch_word_document	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	bagan_epig_database-c4cfc990741f	Bagan Epig Database	0b85d05864afade42e28db9dcd3c858036535658757091b92cf93c6baaef61af	high	Provisional because the single-letter shorthand still needs editorial confirmation.
sf-arasi	annualReportArchaeologicalSurveyIndia	frasch-ref-00333	frasch_bibliography	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	frasch-ref-00333	Duroiselle, ARASI 1912, p. 149-51 (Hle- daung inscr.)	060902c0e2282ad1e5be7b3e6c352d6ffc9792bd75e8e1bb6278a639b9ae1226	medium	Used as the shared authority target for year-specific ARASI citation families.
sf-b	fraschBaganEpigraphicDatabasePartBShort	bagan_epig_database-c4cfc990741f	source_abbreviation_seed	bagan_epig_database-c4cfc990741f	Bagan Epig Database.doc	bagan_epig_database-c4cfc990741f	Bagan Epig Database	5ec6aa6735572856464c2620086372ce15254f1161e0ebe26bb1253139bdc984	medium	B is kept as a stable abbreviation family rather than an ordinary work-level citation.
